Record_ID,Customer_Name,City,State,Region,Category,Sub_Category,Transaction_Date,Quantity,Unit_Price,Discount,Revenue,Profit,Rating,Status
FOO1000,Jimmy Curry,Anthonytown,Minnesota,West,C,Type3,2024-01-04,3,507.63,0.02,3456.5,3067.29,1.8,Pending
FOO1001,Nathaniel Williams,East Jessica,Ohio,West,B,Type2,2025-10-29,15,505.2,0.26,2687.52,-473.3,4.9,Pending
FOO1002,Eric Burke,New Bethany,Arkansas,West,A,Type3,2023-06-12,3,299.4,0.19,8838.92,1826.45,2.1,Pending
FOO1003,Ronald Wood,Davidbury,Idaho,North,C,Type1,2024-02-17,4,717.15,0.22,4151.89,3786.85,3.7,Pending
FOO1004,Kerry Duran,West Kyle,Nevada,North,A,Type1,2025-11-29,19,332.06,0.01,8080.14,523.64,4.2,Cancelled
FOO1005,Deborah Diaz,South Mary,Louisiana,West,C,Type2,2026-01-23,9,545.1,0.02,6980.65,1824.22,1.8,Pending
FOO1006,Lisa Johnson,Harrisshire,Nebraska,North,A,Type1,2024-11-12,5,717.24,0.27,1914.84,2961.6,2.3,Pending
FOO1007,Jessica Spears,East Anthony,New Jersey,North,D,Type3,2026-03-07,2,613.44,0.06,1812.05,261.94,1.1,Cancelled
FOO1008,Sheryl Turner,West Haley,Maine,West,D,Type3,2025-04-26,6,268.17,0.24,7577.76,2449.69,1.1,Pending
FOO1009,Cole Ramsey,East Edgarbury,Colorado,East,B,Type2,2024-12-01,14,562.31,0.02,9883.96,169.13,4.4,Pending
FOO1010,Margaret Meadows,New Jerry,Rhode Island,North,D,Type1,2025-06-09,12,370.61,0.2,9273.92,4428.48,4.9,Completed
FOO1011,Alexis Edwards,Rosariohaven,Georgia,North,A,Type1,2026-04-15,14,52.66,0.26,2074.17,2501.52,3.4,Pending
FOO1012,Anthony Edwards,Lake Erinville,Arizona,West,A,Type1,2025-07-10,6,192.55,0.18,2984.15,214.87,3.7,Cancelled
FOO1013,Frances Burke,East Samanthaville,Virginia,North,C,Type2,2024-10-12,5,708.72,0.29,9011.37,3635.64,2.3,Completed
FOO1014,Amber Berg,Bennettland,Illinois,North,C,Type2,2026-02-18,10,500.74,,8870.14,2911.08,4.5,Completed
FOO1015,Robert Russell,West Priscilla,West Virginia,South,A,Type3,2025-05-01,8,243.31,0.01,1442.64,2862.18,3.9,Completed
FOO1016,Amanda Perez,Meganbury,Idaho,North,B,Type3,2024-09-30,8,61.43,0.22,1352.66,4403.39,4.4,Pending
FOO1017,Judy Moreno,West Meghan,Arizona,South,A,Type3,2025-10-03,4,443.07,0.15,2751.52,2570.94,2.4,Pending
FOO1018,Wayne Hernandez,North Kevin,North Carolina,North,B,Type1,2024-11-24,4,327.68,0.2,7794.96,4872.14,1.9,Completed
FOO1019,Lisa Dawson,Ortegachester,South Carolina,East,B,Type2,2024-09-02,17,382.43,0.28,8013.02,978.27,1.3,Cancelled
FOO1020,Sharon Hamilton,East Sergio,Ohio,East,C,Type1,2025-05-19,10,288.38,0.08,4369.14,2330.05,3.5,Pending
FOO1021,Lisa Reese,Trevinoside,Hawaii,West,B,Type2,2023-11-29,11,978.1,0.06,6873.73,3503.08,1.6,Cancelled
FOO1022,Richard Anderson,New Jessica,New Mexico,West,C,Type3,2024-06-20,15,813.64,0.12,1846.4,,4.4,Completed
FOO1023,Stephen Morris,Amandaborough,Alabama,West,C,Type3,2024-04-19,16,320.81,0.18,1168.78,4675.82,1.4,Pending
FOO1024,Keith Murray,North Patrickland,Ohio,East,C,Type3,2023-10-05,7,541.89,0.26,8898.45,1430.39,1.9,Cancelled
FOO1025,Patrick Garcia,Edwinhaven,Minnesota,South,C,Type2,2026-02-24,11,570.18,0.17,7050.71,2505.66,2.5,Completed
FOO1026,George Donaldson,East Michele,Washington,North,B,Type1,2023-08-11,4,222.06,0.24,6908.33,180.2,3.4,Cancelled
FOO1027,Jasmine Rivera,West Katiefurt,Louisiana,West,D,Type1,2026-03-04,16,775.95,0.18,1092.04,2247.62,1.5,Completed
FOO1028,Tiffany Fowler,East Bryanside,Nebraska,South,B,Type2,2026-02-08,1,867.05,0.23,7822.09,427.89,4.7,Pending
FOO1029,Lance Coleman,South Traceyhaven,California,East,A,Type2,2025-08-01,8,616.44,0.24,3510.5,3521.49,1.4,Completed
FOO1030,Charles Torres,Melissastad,Montana,South,C,Type3,2025-11-24,3,867.22,0.3,8980.8,3792.55,2.2,Cancelled
FOO1031,Julie Mcbride,Lake Corystad,Nevada,East,D,Type2,2023-06-02,16,593.67,0.2,4250.11,1454.38,3.6,Completed
FOO1032,Courtney Smith,New Williambury,Tennessee,East,A,Type1,2024-09-27,7,572.16,0.03,1930.94,860.15,3.0,Completed
FOO1033,Jamie Keller,Lake Calebville,Texas,East,A,Type2,2024-02-09,1,521.05,0.25,3261.01,98.55,3.2,Completed
FOO1034,Gregory Church,Andersonchester,Kansas,East,D,Type3,2024-02-08,5,404.6,0.19,492.91,1717.79,1.2,Cancelled
FOO1035,Angela Morrow,Lake Stephanie,Georgia,North,C,Type3,2026-01-01,15,562.34,0.07,8152.68,1063.2,2.7,Pending
FOO1036,James Simmons,Lake Courtneyside,Minnesota,West,B,Type3,2024-04-04,10,951.54,0.15,5559.8,1185.27,1.9,Pending
FOO1037,Mary Gordon,Port Jessica,Tennessee,West,A,Type3,2025-02-17,8,877.91,0.25,6496.85,4925.82,2.0,Completed
FOO1038,Tyler Bailey,Meredithshire,Wisconsin,East,B,Type3,2024-12-31,6,482.01,0.06,1000.32,1979.73,3.2,Cancelled
FOO1039,Julie Perez,West Trevorborough,Ohio,East,B,Type3,2026-03-28,4,178.18,0.19,4889.71,1667.38,4.1,Completed
FOO1040,Caitlin Scott,Shawfort,Rhode Island,West,C,Type1,2024-10-18,12,424.27,0.29,6622.6,316.9,1.0,Completed
FOO1041,Mr. George Hill DDS,New Lauraberg,South Dakota,North,D,Type1,2023-06-25,10,702.61,0.17,5258.25,-463.34,2.5,Cancelled
FOO1042,Natalie Burton,Anashire,Delaware,East,B,Type3,2026-04-22,14,135.1,0.3,656.36,4562.69,3.9,Completed
FOO1043,Tyler Ray,,Iowa,East,D,Type1,2026-05-15,14,341.99,0.26,4554.36,203.55,1.9,Cancelled
FOO1044,Shawn Long,,Massachusetts,South,D,Type3,2025-09-15,17,825.45,0.12,2845.07,4645.27,4.3,Pending
FOO1045,Charles Hall,West Jenniferstad,California,West,A,Type2,2025-04-19,10,465.48,0.04,3812.59,2685.59,1.5,Cancelled
FOO1046,Brooke Peterson,North Dylanborough,South Dakota,West,D,Type2,2025-03-28,9,487.83,0.23,2943.27,1047.3,3.9,Completed
FOO1047,Mary Nichols,,West Virginia,East,A,Type2,2025-05-10,4,377.46,0.23,2921.92,-104.58,3.5,Pending
FOO1048,Melissa Carroll,Gordonhaven,New York,North,A,Type2,2026-01-13,11,670.02,,7723.18,2351.45,3.3,Completed
FOO1049,Jessica Smith,Walkerborough,Florida,East,D,Type2,2024-06-04,19,293.63,0.01,2598.18,4676.35,2.4,Pending
FOO1050,Catherine Jackson,Dennisview,Michigan,South,A,Type1,2025-11-20,2,67.36,0.29,9992.03,3097.55,2.7,Cancelled
FOO1051,Christine Barnes,Kellyview,Utah,East,A,Type3,2024-05-23,16,908.41,,9520.33,-64.13,3.9,Pending
FOO1052,Darryl Bryant,New Melaniemouth,South Carolina,North,A,Type3,2024-12-03,4,126.37,,4270.84,4786.25,4.3,Cancelled
FOO1053,Sheryl Frazier,Gonzalezmouth,Hawaii,West,B,Type1,2025-09-16,2,717.24,0.05,383.5,763.6,1.2,Cancelled
FOO1054,James Hanson,Grahamfurt,Louisiana,East,A,Type2,2026-04-09,5,501.55,0.06,4344.58,,3.1,Cancelled
FOO1055,Joe Oneill,Nelsonport,Wyoming,South,B,Type2,2024-02-06,10,763.07,0.04,3605.81,2571.27,3.3,Pending
FOO1056,Raymond Turner,East Markhaven,South Carolina,South,B,Type3,2026-03-28,18,729.93,0.28,1839.68,-184.23,2.9,Completed
FOO1057,Janet Fletcher,Tylerville,Virginia,North,B,Type1,2023-06-18,1,632.16,0.12,7058.18,3689.65,1.4,Pending
FOO1058,Sarah Andrade,Camachoshire,Michigan,South,B,Type1,2026-02-15,12,84.69,0.12,2309.8,704.44,4.6,Pending
FOO1059,Mike Scott,Lake Laurenton,Indiana,North,B,Type3,2023-09-26,4,289.89,0.25,3427.65,4952.42,3.5,Pending
FOO1060,Debbie Chambers,North Jamiechester,Iowa,South,B,Type2,2025-11-14,19,433.6,0.05,5848.12,225.1,1.0,Completed
