Record_ID,Customer_Name,City,State,Region,Category,Sub_Category,Transaction_Date,Quantity,Unit_Price,Discount,Revenue,Profit,Rating,Status
RES1000,Jose Murray,Christophermouth,Iowa,West,A,Type1,2025-12-19,18,967.01,0.07,6816.67,1561.33,3.2,Pending
RES1001,Robert Rollins,New Brendamouth,Colorado,East,D,Type2,2024-12-23,13,333.12,0.13,1488.9,1610.21,3.3,Cancelled
RES1002,Steven Jacobs,North Bradleybury,Ohio,North,B,Type2,2025-05-16,9,852.55,0.09,7812.42,1138.31,2.2,Cancelled
RES1003,Tammy Burke,Port Jacqueline,Indiana,South,D,Type1,2025-08-01,9,976.69,0.05,4344.73,3078.28,4.0,Pending
RES1004,Alexandra Rice,Karenmouth,Rhode Island,East,C,Type3,2024-09-27,9,824.28,0.03,7145.5,2838.39,3.6,Cancelled
RES1005,Christian Smith,Port Scottside,Illinois,East,A,Type3,2025-07-16,14,447.44,0.25,2609.29,3265.0,3.0,Completed
RES1006,Melissa Montgomery,East Heatherside,California,South,C,Type1,2025-08-13,4,813.06,0.07,4424.91,770.56,1.9,Cancelled
RES1007,Mark Lee,North Amanda,South Dakota,North,D,Type1,2024-05-10,11,54.38,,4816.44,-485.1,4.4,Cancelled
RES1008,John Gutierrez,Lake Kristenchester,Hawaii,North,B,Type1,2023-08-09,12,865.5,0.13,3027.64,4819.71,1.8,Pending
RES1009,Kathryn Meyer,Bryanstad,Virginia,South,A,Type1,2026-03-26,5,494.66,0.15,7932.32,3749.16,1.8,Cancelled
RES1010,Matthew Cook,Hollyshire,Indiana,South,C,Type3,2023-12-24,16,455.72,0.16,1858.46,2013.49,1.6,Cancelled
RES1011,Joseph Lee,Port Joseph,Idaho,North,A,Type3,2024-12-09,15,735.33,0.19,6665.45,-259.33,5.0,Completed
RES1012,Mrs. Kelly Cooper,Lake Michael,New Hampshire,East,A,Type1,2024-06-03,8,931.81,0.24,9330.69,595.21,2.0,Cancelled
RES1013,Raven Moore,East Jennifer,Florida,North,A,Type1,2023-11-29,10,261.85,0.05,8393.5,-208.72,4.4,Pending
RES1014,Kelly Williams,Danielmouth,Arizona,North,A,Type2,2024-03-08,15,429.39,0.09,7664.63,2124.6,1.1,Cancelled
RES1015,Susan Ross,East Roychester,Delaware,South,A,Type2,2024-08-18,14,654.19,0.03,1513.69,694.41,3.8,Pending
RES1016,Amanda Oneill,West Jamesmouth,North Dakota,West,C,Type1,2025-05-07,1,610.4,0.21,7612.82,2462.1,1.1,Pending
RES1017,Susan Guerra,North Tina,Iowa,South,C,Type1,2025-01-01,8,242.44,0.09,3808.57,-158.85,3.5,Pending
RES1018,Michelle Walker,North Mackenzieview,Nebraska,North,B,Type2,2026-05-09,9,27.71,0.24,1123.24,3409.57,2.1,Pending
RES1019,Morgan Herrera,East John,Oregon,North,A,Type3,2023-09-21,13,171.37,0.22,7008.34,53.83,1.3,Pending
RES1020,Mary Watts,North Miguel,New Jersey,South,A,Type1,2024-01-22,9,49.23,0.01,753.27,1201.98,2.1,Cancelled
RES1021,Wendy Brown,South Davidland,New York,West,B,Type1,2023-12-16,13,69.84,0.03,3875.12,3048.56,1.5,Completed
RES1022,Jessica Wright,Tashashire,Tennessee,South,D,Type2,2024-04-21,1,253.25,0.18,8611.98,91.74,1.9,Cancelled
RES1023,Debbie Campbell,Kennethborough,Georgia,East,D,Type2,2026-05-26,10,726.68,0.21,6896.95,4881.97,3.7,Completed
RES1024,Mr. Thomas Mason,North Charles,Massachusetts,West,B,Type1,2024-12-07,15,264.21,0.11,5220.93,551.75,4.3,Pending
RES1025,Pamela Nash,South Terriville,Oklahoma,East,B,Type1,2026-05-08,19,232.91,0.06,8836.59,-301.4,2.8,Completed
RES1026,Mrs. Christine Green,West William,Virginia,East,A,Type3,2025-11-03,14,640.31,0.05,7519.57,3177.05,2.7,Completed
RES1027,Kenneth Robinson,Nelsonmouth,Utah,North,D,Type1,2026-02-02,12,567.57,0.07,4750.73,1598.47,2.8,Cancelled
RES1028,Sarah Hansen,Bradychester,New Mexico,South,C,Type3,2025-04-24,16,513.2,0.05,7496.32,4820.41,2.9,Cancelled
RES1029,Justin Carlson,,Hawaii,West,D,Type2,2024-07-26,7,649.49,0.1,8843.69,-19.86,1.9,Pending
RES1030,Ashley Nelson,South Sara,Mississippi,South,C,Type2,2024-06-08,10,363.48,0.15,1522.93,1452.71,5.0,Completed
RES1031,Kelly Morrison,Lake Lauren,Pennsylvania,West,B,Type3,2023-07-23,2,24.7,0.2,2082.35,2763.38,3.7,Cancelled
RES1032,Ryan Bryant,Mcintyrefort,Oregon,North,D,Type1,2024-11-24,11,435.72,0.26,7286.7,2493.62,4.1,Pending
RES1033,Christina Shaw,Vaughnburgh,Mississippi,North,D,Type2,2024-07-19,8,373.12,0.22,1785.63,2184.48,2.8,Pending
RES1034,Kathleen Anderson,Mitchellport,Colorado,West,B,Type2,2023-07-05,7,774.14,0.2,1748.5,1611.3,4.0,Completed
RES1035,Ryan Shields,Jonton,Idaho,West,A,Type2,2025-08-11,18,99.39,0.24,6596.87,4090.9,3.7,Pending
RES1036,Holly Cantrell,Jacksonmouth,Vermont,South,B,Type2,2023-08-13,6,783.3,0.27,5401.28,259.43,4.3,Pending
RES1037,Gary Sanchez,Garciaburgh,Maine,South,D,Type3,2024-05-04,12,713.89,0.07,7592.34,2257.91,1.2,Completed
RES1038,Sally Beltran,Jasonmouth,Colorado,North,B,Type2,2026-03-03,2,340.85,0.19,3256.67,,1.2,Completed
RES1039,Mary Campbell,Juliefurt,Idaho,South,B,Type2,2024-07-05,16,631.21,0.01,6123.71,4366.15,3.3,Completed
RES1040,Ashley Flores,New James,West Virginia,South,D,Type3,2024-07-25,18,531.37,0.3,8977.25,1053.56,2.5,Cancelled
RES1041,Eric Mcgee,South Brianchester,Vermont,East,D,Type1,2023-06-28,1,220.71,0.26,9044.27,1005.79,4.2,Cancelled
RES1042,Brandon Atkins,New Williamview,Colorado,North,D,Type3,2023-07-26,10,904.95,0.11,6565.97,3954.33,1.7,Cancelled
RES1043,Kristen Larson,New Drew,Vermont,West,B,Type3,2025-08-27,9,197.82,0.18,330.98,1022.76,2.0,Completed
RES1044,Amy Petersen,Cooperstad,Arkansas,West,A,Type2,2023-10-30,6,146.68,0.16,5331.61,-203.66,2.7,Pending
RES1045,Christina Collins,Port Anthony,Connecticut,West,A,Type3,2024-08-29,6,415.78,0.25,774.22,2372.78,4.6,Pending
RES1046,Russell Phillips,Nicoletown,Connecticut,West,C,Type1,2025-09-28,17,745.57,0.14,9898.63,3674.71,1.5,Completed
RES1047,Christopher Johnson,Henrymouth,Rhode Island,South,B,Type1,2026-04-19,13,229.15,0.04,9970.57,344.13,4.1,Completed
RES1048,Amanda White,West Cathy,South Dakota,North,A,Type1,2025-10-31,16,868.0,0.14,1248.36,3691.16,5.0,Pending
RES1049,Robert Caldwell,East Chad,Maine,South,A,Type3,2025-07-12,4,581.92,0.04,4616.02,1449.84,4.0,Pending
RES1050,Christopher Robinson,New Gary,North Carolina,West,D,Type2,2025-09-26,17,198.24,0.24,8625.58,4716.76,3.2,Pending
RES1051,Sandra Garcia,North Heatherport,Delaware,East,C,Type3,2023-10-05,17,547.3,0.05,1249.15,-21.39,3.2,Cancelled
RES1052,Luis Holder,East Steven,West Virginia,West,B,Type3,2025-02-12,1,240.27,,5567.51,1234.13,1.7,Completed
RES1053,Debbie Martin,Travisport,Vermont,South,D,Type3,2023-08-20,7,210.29,0.03,2076.81,655.77,2.8,Completed
RES1054,Crystal Porter,Codyland,Mississippi,North,A,Type2,2025-03-21,15,161.85,0.11,4908.17,4432.87,3.1,Pending
RES1055,Douglas Hoffman,Frazierhaven,Alaska,South,C,Type3,2024-05-08,15,592.47,0.29,2102.79,1035.78,3.0,Pending
RES1056,Jared Shaw,Carterstad,Maryland,South,A,Type1,2026-01-21,2,19.85,,5349.94,960.98,1.4,Completed
RES1057,Matthew Wagner,Vanessaton,Hawaii,East,C,Type3,2025-11-11,1,953.4,0.17,4174.57,3375.81,1.6,Completed
RES1058,Sean Dennis,Allenville,Wisconsin,East,B,Type1,2023-06-13,10,36.61,0.19,3999.25,4720.01,2.0,Pending
RES1059,Sara Saunders,Lake Phyllisfurt,Alabama,East,D,Type2,2025-10-31,17,930.89,0.11,1687.55,2746.27,3.1,Completed
RES1060,Lisa Edwards,West Jamesburgh,Wyoming,South,C,Type2,2025-09-10,18,338.56,0.06,6632.01,4680.51,1.6,Completed
RES1061,Rachael Carey,Lake Colleentown,West Virginia,East,B,Type2,2024-11-22,16,574.34,0.08,795.48,3119.16,2.1,Pending
RES1062,Sharon Hernandez,Lisatown,California,West,B,Type1,2023-08-15,5,505.18,,9345.24,584.25,2.4,Cancelled
RES1063,Brittany Arnold,New Alexishaven,Pennsylvania,East,A,Type1,2025-12-16,12,314.63,0.13,684.39,3595.05,3.7,Completed
RES1064,Lisa Quinn,West Nicholashaven,Texas,West,D,Type2,2025-04-01,16,318.71,0.03,4174.06,1130.44,2.3,Completed
RES1065,Kelli Shaffer,Hayleyhaven,Oregon,South,C,Type2,2023-07-20,19,143.62,0.11,2939.11,1198.46,3.8,Cancelled
RES1066,Chris Mcdowell,Barkershire,Oregon,North,D,Type1,2024-01-19,13,343.87,0.26,5561.82,3948.42,1.6,Pending
RES1067,Samuel Cantrell,Skinnerchester,Idaho,South,A,Type3,2023-09-03,17,637.6,0.12,346.55,923.2,2.1,Cancelled
RES1068,Chloe Drake,East Traceyfort,New Hampshire,East,C,Type3,2024-01-06,10,595.92,0.13,4446.13,1332.91,2.7,Completed
RES1069,Jennifer Freeman,New Kristina,Wyoming,North,B,Type3,2023-07-19,19,856.01,0.16,7561.69,4929.56,2.1,Pending
RES1070,Rebecca Duran,South William,Hawaii,East,B,Type3,2026-04-23,6,231.49,0.09,8091.32,435.23,1.7,Completed
RES1071,Levi Wilson,East Cassidy,Delaware,East,A,Type2,2025-05-15,1,169.97,0.02,9349.21,2976.67,4.9,Completed
RES1072,James Bradley,Brandyberg,North Carolina,North,D,Type2,2024-05-20,5,806.4,0.23,1172.89,1670.34,3.6,Cancelled
RES1073,Joan Walker,Torreschester,Kansas,East,D,Type3,2024-02-25,10,808.86,0.07,5585.17,1258.49,1.1,Pending
RES1074,Amanda Williams,Berryborough,California,West,C,Type1,2023-10-12,18,731.24,0.04,4073.69,231.63,1.7,Completed
RES1075,Angela Chandler,Port Autumn,South Carolina,East,B,Type3,2025-12-15,1,148.82,0.03,6509.03,2428.91,3.6,Pending
