Record_ID,Customer_Name,City,State,Region,Category,Sub_Category,Transaction_Date,Quantity,Unit_Price,Discount,Revenue,Profit,Rating,Status
SOC1000,Lauren Sanders,North Nicholasville,Hawaii,South,A,Type2,2024-10-17,5,853.75,0.04,5422.32,2650.58,3.2,Cancelled
SOC1001,Tracy Medina,East Michellechester,Nebraska,West,D,Type1,2023-08-17,12,187.96,0.1,7443.64,3018.95,2.5,Completed
SOC1002,Kimberly Hernandez,East Nicholasport,Arkansas,West,B,Type1,2025-03-14,10,389.11,0.12,502.1,-81.42,3.9,Completed
SOC1003,Jeremiah Simpson,Tiffanyhaven,Idaho,North,A,Type3,2023-12-03,2,347.46,0.25,3767.75,4331.72,2.5,Cancelled
SOC1004,Diane Brown,Robertburgh,South Carolina,North,B,Type1,2026-03-20,18,626.79,0.19,6130.05,2765.97,1.4,Cancelled
SOC1005,Colleen Russo,Taylorbury,Arizona,East,D,Type1,2025-05-19,19,654.98,0.01,8469.73,1111.91,3.0,Completed
SOC1006,Zachary Thompson,Port Alexshire,South Carolina,East,C,Type3,2024-01-19,5,776.72,0.12,9121.94,-40.53,1.6,Completed
SOC1007,James Dunn,Robertsonview,Texas,West,A,Type1,2025-01-03,15,860.95,0.3,3912.23,,3.8,Cancelled
SOC1008,Brooke Jones,Connieville,Wyoming,West,A,Type1,2023-08-14,16,66.97,0.22,313.05,411.75,3.3,Cancelled
SOC1009,Shannon Fletcher,,California,North,D,Type2,2024-06-16,12,540.99,0.07,607.97,2482.63,1.5,Cancelled
SOC1010,James Burton,Port Alexanderbury,Utah,West,B,Type2,2025-09-12,3,776.13,0.29,5418.99,1066.4,1.6,Pending
SOC1011,Nicholas Gonzalez,Avilachester,Oregon,West,A,Type3,2024-01-29,14,355.06,0.2,5174.13,2117.49,1.6,Completed
SOC1012,Bruce Gibson,Scottport,Washington,West,C,Type3,2024-07-22,15,154.11,,2542.27,1558.92,4.5,Pending
SOC1013,Jessica Johns,West Jamesside,Oregon,South,B,Type1,2024-11-10,19,918.23,0.26,5236.25,1911.29,4.4,Pending
SOC1014,Wendy Garcia,Smithville,Indiana,West,A,Type2,2025-03-27,1,91.04,0.03,6696.95,-11.29,3.0,Completed
SOC1015,Alicia Murray,New Jennyburgh,Tennessee,West,A,Type2,2024-07-28,17,984.19,0.05,4389.9,3070.46,4.5,Completed
SOC1016,Mitchell Miller,New Raymond,Indiana,East,C,Type1,2025-02-26,8,189.16,0.04,1054.28,950.39,4.0,Completed
SOC1017,Bradley Miller,Andersonbury,West Virginia,South,A,Type2,2025-12-11,3,260.28,0.19,3336.17,4103.7,1.5,Cancelled
SOC1018,Aaron Wagner,Maysshire,Utah,South,D,Type1,2024-06-24,3,372.87,0.17,6546.35,860.84,3.6,Completed
SOC1019,Edwin Clarke,Dianaburgh,Idaho,South,D,Type3,2023-06-21,8,12.89,0.19,3781.12,1078.71,2.3,Cancelled
SOC1020,Gregory Neal,North Michelleborough,Maryland,East,C,Type2,2025-08-31,16,659.64,0.19,1024.9,-87.16,3.2,Cancelled
SOC1021,Margaret Contreras,Armstrongfort,Montana,South,A,Type2,2024-06-22,11,143.23,0.27,4579.09,3313.03,4.5,Completed
SOC1022,Yolanda Sexton,North Bobbymouth,Indiana,East,D,Type1,2025-08-16,12,560.66,0.03,4866.16,74.49,2.1,Cancelled
SOC1023,Theresa Long,West Gregory,Hawaii,North,A,Type3,2025-11-11,11,152.61,0.13,5064.3,4955.51,2.4,Cancelled
SOC1024,Matthew Henry,Port Chelsealand,Delaware,East,B,Type1,2023-11-30,9,274.6,0.05,4865.31,4186.09,3.6,Pending
SOC1025,Timothy Hawkins,Jessicahaven,Washington,West,B,Type1,2024-04-19,2,142.0,,3543.76,2212.74,3.8,Completed
SOC1026,Cassandra Harrison,North Jessica,California,South,A,Type1,2023-11-21,9,639.68,0.29,5576.61,819.32,3.9,Cancelled
SOC1027,Amy Wong,New Kimberlyburgh,Nevada,East,B,Type3,2025-09-21,14,888.17,0.09,1413.11,-43.05,2.2,Pending
SOC1028,Fred Mathews,New Kimberlyland,Connecticut,South,B,Type2,2026-01-09,18,77.02,0.24,3842.53,-92.91,1.4,Pending
SOC1029,John Gutierrez,Lake Christine,Idaho,East,D,Type1,2026-01-21,5,455.02,0.07,2993.45,-436.48,4.3,Cancelled
SOC1030,Melissa Gutierrez,East Michelle,Mississippi,East,C,Type1,2024-05-14,16,660.15,0.01,2483.64,2477.93,2.1,Completed
SOC1031,Cesar Cook,Rhodesshire,Delaware,North,A,Type1,2025-08-24,19,307.25,0.08,4699.85,942.18,1.9,Completed
SOC1032,Chad Smith,Elizabethmouth,Georgia,South,B,Type1,2023-09-22,5,456.86,0.27,7802.48,1974.54,2.6,Cancelled
SOC1033,Leslie Ross,South Sarahburgh,Missouri,North,A,Type2,2025-04-09,5,931.37,0.05,6329.57,2975.17,2.8,Cancelled
SOC1034,Alyssa Moody,Jessehaven,Vermont,East,A,Type2,2024-02-17,9,614.93,0.28,1067.92,2990.34,4.0,Pending
SOC1035,Willie Matthews,Port Timothy,Oregon,South,B,Type3,2024-06-18,17,758.51,0.07,4857.28,2037.17,4.4,Completed
SOC1036,Robert Rodriguez,Kimfurt,Tennessee,East,A,Type2,2025-12-29,18,718.74,0.02,8678.87,623.31,4.7,Cancelled
SOC1037,Melissa Brown,Dudleyhaven,Texas,South,D,Type1,2026-04-10,8,406.13,0.01,9363.25,4389.52,2.0,Completed
SOC1038,David Martin,Reedport,Massachusetts,North,A,Type1,2024-07-05,3,534.99,0.07,6141.64,35.87,4.2,Pending
SOC1039,Bobby Adams,North Reneeshire,Nebraska,South,C,Type1,2025-09-22,14,849.87,0.05,5854.84,1637.26,4.6,Cancelled
SOC1040,Victoria Hill,Wesleytown,South Carolina,North,C,Type3,2025-04-08,17,326.55,0.0,5902.68,3843.53,4.3,Cancelled
SOC1041,Gary George,Lake Randyview,Ohio,South,C,Type3,2025-02-09,17,229.02,0.16,7650.82,2254.68,1.1,Pending
SOC1042,Nicholas Russell,,Alabama,East,D,Type1,2025-09-11,16,57.21,0.15,8529.21,1045.67,4.9,Cancelled
SOC1043,Ryan King,West Alicemouth,Nebraska,South,A,Type1,2024-07-21,13,50.01,0.19,5279.35,3941.92,1.8,Completed
SOC1044,Michael Gonzalez,Smithland,Utah,North,A,Type2,2024-12-02,9,406.68,0.29,3942.43,3868.87,3.7,Cancelled
SOC1045,Ralph Obrien DDS,South Amberville,Virginia,East,B,Type3,2025-10-14,5,431.76,0.28,9559.19,2423.35,1.3,Completed
SOC1046,Victoria Garcia,Andersonfurt,Kansas,East,C,Type3,2025-06-01,18,632.11,0.02,2753.41,1152.16,1.0,Completed
SOC1047,Sarah Thomas,New Claytonshire,Oregon,West,A,Type3,2023-11-30,17,465.69,0.29,4013.85,4068.9,3.3,Pending
SOC1048,Rodney Gomez,South Edwardtown,Idaho,East,A,Type3,2023-12-05,19,265.53,0.2,8066.22,371.03,1.7,Completed
SOC1049,Brian Johnson,,Idaho,North,B,Type1,2024-12-05,18,308.35,0.29,756.6,4496.91,4.9,Completed
SOC1050,Meghan Lewis,Robersonville,Washington,West,A,Type1,2024-07-06,11,772.3,0.1,4484.54,3240.28,2.7,Cancelled
SOC1051,Michael Reid,South Richard,Utah,East,D,Type2,2025-04-14,10,569.3,0.14,4479.21,-229.86,4.3,Cancelled
SOC1052,Samuel Walker,Geoffreystad,Washington,South,A,Type3,2023-11-20,6,449.74,0.17,7955.88,4769.12,3.8,Completed
SOC1053,Roy Gibson,South Timothy,South Carolina,North,D,Type1,2024-05-16,4,600.52,0.12,6248.26,3333.88,2.4,Pending
SOC1054,Michele Davis,Marquezstad,Massachusetts,South,A,Type3,2023-07-07,6,740.56,0.06,1697.36,3376.2,2.3,Completed
SOC1055,Jennifer Golden,Port Sarah,Arkansas,West,C,Type3,2026-01-19,16,491.2,0.26,3295.63,580.86,3.9,Pending
SOC1056,Erik Morgan,Port Kathleen,New Jersey,South,B,Type2,2023-07-23,15,133.01,0.22,6666.69,2537.95,4.5,Cancelled
SOC1057,Kenneth Boyd,Bradleyfort,Georgia,North,D,Type1,2023-08-25,18,450.55,0.29,2859.25,4117.9,1.5,Cancelled
SOC1058,Jamie Caldwell,Katrinastad,Vermont,West,A,Type3,2024-12-18,4,668.96,0.15,6734.12,3437.79,4.8,Cancelled
SOC1059,James Taylor,Lake Laurabury,Maryland,South,A,Type2,2024-08-06,9,841.26,0.16,1074.65,325.97,2.0,Completed
SOC1060,Melissa Lee,,Oklahoma,North,D,Type3,2024-06-06,4,863.7,0.15,2197.19,1189.04,1.9,Completed
SOC1061,Lori Cervantes,,Iowa,East,D,Type2,2023-07-01,19,496.77,0.05,6452.62,-47.48,2.7,Completed
SOC1062,Melanie Garrett,Lake Alex,Massachusetts,East,A,Type1,2025-09-04,16,769.76,0.23,712.41,256.42,3.7,Pending
SOC1063,Jonathan Conner,Wilcoxside,Pennsylvania,West,D,Type1,2024-11-20,12,515.48,0.11,9622.04,1435.02,2.1,Cancelled
SOC1064,Katie Taylor,Sullivanberg,Vermont,South,D,Type3,2025-06-11,19,268.91,0.23,8066.97,1427.68,3.8,Cancelled
SOC1065,Patty Mendez,Ponceside,Iowa,West,D,Type1,2025-03-02,14,793.29,0.25,6010.25,4624.79,3.3,Cancelled
SOC1066,Melissa Simon,Normanfort,Washington,East,D,Type1,2024-09-19,18,240.61,0.07,2663.16,712.72,2.8,Pending
SOC1067,Mrs. Mikayla Howe,North Seth,Utah,East,A,Type3,2024-06-26,13,541.07,0.01,6723.92,4328.86,4.3,Pending
SOC1068,Kristopher Johnson,Castroport,Oklahoma,South,B,Type3,2024-10-17,4,288.08,0.11,5293.56,4253.19,3.3,Cancelled
SOC1069,Joshua Nunez,Port Austin,Alabama,East,C,Type3,2025-08-29,13,214.92,0.28,6514.82,2150.09,4.4,Cancelled
SOC1070,Jessica Baker,Port Lindamouth,Oklahoma,West,A,Type1,2024-11-02,5,206.75,0.19,5727.33,4036.31,1.1,Pending
SOC1071,Dr. Jennifer Hamilton,Davidbury,Nevada,West,B,Type3,2025-06-06,4,620.1,0.08,849.66,3184.57,4.1,Cancelled
SOC1072,Nichole Green,New Lisamouth,Illinois,North,D,Type3,2025-02-24,15,329.34,0.17,8680.03,452.17,3.7,Cancelled
SOC1073,Melody Thompson,Torresborough,Texas,North,A,Type3,2024-06-15,19,921.66,0.28,2835.19,545.19,2.6,Cancelled
SOC1074,Andrew Barker,West Sheri,Virginia,East,D,Type2,2025-07-09,19,627.68,0.14,2605.73,758.75,2.4,Pending
SOC1075,Matthew Roth,Salazarstad,North Carolina,West,D,Type1,2025-02-21,17,756.5,0.01,2953.45,3694.98,3.1,Completed
SOC1076,Albert Johnson,Port Daleport,Delaware,North,B,Type3,2023-06-04,17,386.18,0.16,3666.6,1872.31,1.1,Completed
SOC1077,Kimberly Martinez,West Catherineton,New York,North,B,Type3,2025-08-27,9,601.22,0.09,1553.22,52.18,1.9,Pending
SOC1078,Justin Blackburn,Bradleystad,New Mexico,West,D,Type3,2024-06-12,16,249.68,0.12,2544.33,4216.79,3.6,Pending
SOC1079,Hailey Shields,,Delaware,North,C,Type2,2025-11-29,13,717.15,0.27,3486.68,1741.5,1.3,Cancelled
SOC1080,Steven Jacobs DDS,Andrewburgh,Nevada,North,D,Type1,2026-01-16,11,658.1,0.19,1490.45,759.77,2.8,Pending
SOC1081,Michelle Velez,South Thomasbury,New Mexico,North,A,Type1,2024-10-25,5,93.75,0.06,5563.23,1583.25,2.3,Completed
SOC1082,Richard Porter,Shawnberg,North Carolina,West,A,Type1,2026-04-02,8,531.81,0.02,1383.26,2455.48,1.0,Pending
SOC1083,Kathleen Alvarado,Rebeccamouth,Wyoming,East,C,Type1,2025-02-17,17,702.19,0.1,1413.26,2857.21,1.3,Cancelled
SOC1084,Bryan Copeland,Burkeville,New Mexico,East,B,Type3,2023-11-04,1,913.92,0.27,6637.85,2279.97,2.1,Completed
SOC1085,Autumn Ward,Danaton,Utah,South,C,Type3,2024-01-12,10,792.74,0.23,9408.38,-466.02,4.1,Completed
SOC1086,Jason Ortiz,East Paul,Arizona,East,A,Type3,2025-03-10,15,257.44,0.11,4603.07,3155.98,4.3,Pending
SOC1087,Nicole Williams,Stephenville,Connecticut,East,D,Type3,2025-01-28,17,601.87,0.28,3498.31,2689.33,4.2,Completed
SOC1088,Nicholas Smith,Port Joseph,California,West,D,Type1,2024-02-19,14,122.07,0.26,7448.93,-166.6,2.4,Pending
SOC1089,Lisa Cohen,Rossfurt,Tennessee,North,B,Type1,2024-10-29,10,831.33,0.14,5545.82,2644.89,3.7,Cancelled
SOC1090,Mrs. Joy Watts,Wellsland,Maryland,East,A,Type3,2023-08-09,13,367.18,0.07,4895.35,1640.98,2.4,Pending
SOC1091,Ashley Harper,New Adam,Virginia,North,C,Type1,2025-01-19,6,622.67,0.03,5643.18,2591.08,2.2,Cancelled
SOC1092,Michael Jenkins,Christinaland,Vermont,East,C,Type1,2025-06-28,14,202.71,0.24,9778.56,4593.67,4.7,Pending
SOC1093,Michael Morrison,North Erinfurt,Minnesota,East,B,Type1,2024-04-18,5,880.03,0.06,8257.28,678.68,4.5,Pending
SOC1094,Alexander Smith,Anthonyshire,Washington,North,C,Type1,2023-08-19,7,608.14,0.11,9656.6,464.83,1.5,Completed
SOC1095,Anita Watson,West Jillian,Michigan,North,D,Type2,2026-02-28,1,303.45,0.26,3966.29,4261.44,3.3,Cancelled
SOC1096,Shelby Rojas,Wilsonport,California,North,D,Type1,2025-05-23,13,650.77,0.24,6699.11,4457.1,4.9,Completed
SOC1097,Tina Melton,Jenniferfurt,Washington,North,D,Type3,2024-06-13,18,676.72,0.03,7239.35,4467.53,3.0,Completed
SOC1098,Abigail Freeman,Jakeport,Oklahoma,South,D,Type2,2025-01-01,1,146.12,0.23,329.02,4079.06,1.1,Cancelled
SOC1099,Darlene Miller,Lake Scottport,Washington,North,D,Type1,2026-05-15,12,148.99,0.28,5874.66,2894.37,1.2,Completed
SOC1100,Cameron Scott,East Anthony,New Mexico,West,A,Type1,2025-01-31,6,770.65,0.27,3803.09,3499.3,4.0,Cancelled
SOC1101,Pamela Johnson,Davisville,Virginia,North,C,Type1,2023-06-09,13,218.81,0.1,8670.33,-284.97,4.1,Completed
SOC1102,Mike Cruz,Port Williammouth,Vermont,East,C,Type2,2025-08-10,4,873.66,0.3,1203.13,622.6,4.7,Cancelled
SOC1103,Jonathan Liu,Davidhaven,Oklahoma,East,A,Type2,2026-05-14,2,742.87,0.04,297.22,955.74,3.1,Completed
SOC1104,Zachary Green MD,West Jamesshire,Connecticut,West,A,Type3,2024-06-28,5,400.22,0.26,5398.79,4963.85,4.7,Pending
SOC1105,Andre Brown,Nguyenport,South Dakota,North,D,Type2,2025-05-24,12,984.84,0.09,6805.78,4608.34,1.1,Pending
SOC1106,Kayla Montoya,Port Aliciamouth,New Jersey,North,D,Type1,2024-10-16,9,399.15,0.06,5994.68,803.14,4.1,Pending
SOC1107,Luke Reed,East Stevenside,Maine,East,A,Type1,2024-03-09,13,540.55,0.29,4681.91,274.56,4.1,Cancelled
SOC1108,Nicole Howell,Lake Christopherstad,Rhode Island,West,A,Type2,2023-06-23,6,20.29,0.22,9274.15,1950.65,4.1,Cancelled
SOC1109,William Whitaker,Brownland,New Mexico,West,C,Type3,2026-01-22,8,109.07,0.18,161.15,4347.96,4.1,Cancelled
SOC1110,Marie Baker,Johnstonhaven,South Dakota,North,B,Type1,2025-07-28,8,256.67,0.13,1894.51,1139.33,2.5,Cancelled
SOC1111,Jennifer Gomez,Pattersonland,West Virginia,South,C,Type2,2025-07-26,13,149.32,0.18,4405.41,4074.04,2.9,Completed
SOC1112,Daniel Patton,Steventown,California,West,A,Type1,2026-02-16,10,932.08,0.13,574.28,385.77,4.2,Pending
SOC1113,Elizabeth Sims,East Justin,South Carolina,North,C,Type3,2025-04-26,1,632.37,0.22,9760.63,337.01,1.4,Cancelled
SOC1114,Scott Glover,Port Joseph,Massachusetts,South,B,Type3,2024-09-18,16,250.97,0.26,3199.22,2528.82,4.6,Cancelled
SOC1115,Jonathan Garcia,South Adrian,Alabama,North,C,Type1,2024-08-18,2,236.45,0.0,3129.77,148.42,4.8,Cancelled
SOC1116,Margaret Combs,Lake Yvonneland,Maine,North,B,Type2,2023-12-04,12,332.38,0.29,7493.04,4976.8,4.9,Cancelled
SOC1117,Kimberly Jones,Johnstonhaven,Tennessee,East,D,Type3,2023-06-14,7,941.53,0.12,5081.47,1273.76,1.7,Completed
SOC1118,Brett Wong,Wellsfurt,Wyoming,South,D,Type1,2025-05-07,2,556.1,0.04,3052.71,-449.27,2.4,Pending
SOC1119,James Mason,New Audreybury,Texas,West,D,Type3,2023-09-24,2,115.02,0.2,5509.14,1578.21,1.2,Completed
SOC1120,Michelle Dominguez,Melissaburgh,Maine,North,D,Type2,2023-07-27,15,555.77,0.01,7379.86,1478.29,2.5,Pending
SOC1121,Mr. Dustin Gray,Martinville,Alabama,North,D,Type2,2024-05-23,4,488.61,0.24,189.55,2367.7,2.0,Pending
SOC1122,Angel Hoffman,Brookechester,South Carolina,North,D,Type2,2024-04-12,3,83.69,0.28,9140.62,2474.77,3.4,Completed
SOC1123,Belinda West,Port Jennashire,Louisiana,South,A,Type3,2026-04-01,1,483.27,0.13,9304.2,795.87,2.8,Completed
SOC1124,Laurie Ingram,Rhondaside,Connecticut,West,A,Type2,2023-10-21,1,839.92,0.26,9062.62,4730.9,3.5,Cancelled
